City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
123,Zhigansk,RU,66.7697,123.3711,-46.79,97,75,7.31,broken clouds
124,Puerto Ayora,EC,-0.7393,-90.3518,70.56,96,5,5.14,clear sky
125,Talnakh,RU,69.4865,88.3972,-36.8,98,27,2.04,scattered clouds
126,Berlevag,NO,70.8578,29.0864,17.6,93,100,57.53,overcast clouds
127,Nikolskoye,RU,59.7035,30.7861,12.09,91,99,11.05,overcast clouds
128,Willowick,US,41.6331,-81.4687,31.84,87,100,6.91,overcast clouds
129,Ancud,CL,-41.8697,-73.8203,58.73,92,74,10.89,broken clouds
130,Darhan,MN,49.4867,105.9228,13.19,85,17,9.31,few clouds
131,Chadiza,ZM,-14.0678,32.4392,66.24,96,100,1.52,light rain
132,Najran,SA,17.4924,44.1277,56.05,72,7,1.9,clear sky
133,Khatanga,RU,71.9667,102.5,-55.84,100,77,4.03,broken clouds
134,Hervey Bay,AU,-25.2986,152.8535,77.54,74,90,5.86,overcast clouds
135,Victoria,HK,22.2855,114.1577,71.26,76,98,11.01,overcast clouds
136,Port Alfred,ZA,-33.5906,26.891,73.36,71,0,10.54,clear sky
137,Komsomolskiy,UZ,40.4272,71.7189,43.52,81,85,2.3,overcast clouds
138,Aklavik,CA,68.2191,-135.0107,-3.48,99,100,7.11,light snow
139,Geraldton,AU,-28.7667,114.6,86.41,42,0,17.27,clear sky
140,Vila Franca Do Campo,PT,37.7167,-25.4333,61.21,83,95,9.33,overcast clouds
141,Montes Claros,BR,-16.735,-43.8617,69.58,100,75,0.0,broken clouds
142,Robertsport,LR,6.7533,-11.3686,78.3,84,78,6.91,broken clouds
143,Coquimbo,CL,-29.9533,-71.3436,62.33,88,0,2.3,clear sky
144,Norman Wells,CA,65.282,-126.8329,-0.36,85,100,4.61,overcast clouds
145,Saint-Pierre,RE,-21.3393,55.4781,83.88,51,0,3.44,clear sky
146,Souillac,MU,-20.5167,57.5167,82.78,69,40,12.66,scattered clouds
147,Samarai,PG,-10.6167,150.6667,84.63,74,98,7.9,overcast clouds
148,Hamilton,US,39.1834,-84.5333,37.09,84,100,8.05,overcast clouds
149,Bilibino,RU,68.0546,166.4372,-15.66,95,100,0.36,overcast clouds
150,Itarema,BR,-2.9248,-39.9167,78.69,79,99,11.18,overcast clouds
151,Chuy,UY,-33.6971,-53.4616,64.72,85,0,6.89,clear sky
152,Kodiak,US,57.79,-152.4072,33.31,86,100,14.97,light snow
153,Butaritari,KI,3.0707,172.7902,81.55,76,54,13.35,broken clouds
154,Viransehir,TR,37.2353,39.7631,37.02,67,4,5.97,clear sky
155,Porto Santo,PT,33.072,-16.3415,62.98,88,40,5.75,scattered clouds
156,Aswan,EG,24.0934,32.907,54.01,55,0,8.52,clear sky
157,Dunedin,NZ,-45.8742,170.5036,59.81,95,0,15.9,clear sky
