City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
153,Butaritari,KI,81.55,broken clouds,3.0707,172.7902,No hotel found
159,Auki,SB,83.23,broken clouds,-8.7676,160.7034,No hotel found
161,Kiama,AU,82.38,clear sky,-34.6833,150.8667,Nova Kiama
164,Padang,ID,84.25,overcast clouds,-0.9492,100.3543,losmen Surya
172,Kieta,PG,84.09,light rain,-6.2167,155.6333,No hotel found
174,Vaini,TO,86.16,few clouds,-21.2,-175.2,Keleti International Resort
175,Planeta Rica,CO,75.07,broken clouds,8.4147,-75.5883,Hotel Los Colores
185,Alofi,NU,80.49,light rain,-19.0595,-169.9187,No hotel found
191,Saint-Joseph,RE,82.78,few clouds,-21.3667,55.6167,No hotel found
195,Ballina,AU,85.01,clear sky,-28.8667,153.5667,Ballina Beach Resort
200,Carnarvon,AU,81.1,clear sky,-24.8667,113.6333,No hotel found
208,Lorengau,PG,84.45,scattered clouds,-2.0226,147.2712,Seeadler Bay Hotel
213,Georgetown,MY,84.13,scattered clouds,5.4112,100.3354,Page 63 hostel
214,Grand Gaube,MU,83.37,clear sky,-20.0064,57.6608,Coco Villa
217,Narasannapeta,IN,76.01,clear sky,18.4167,84.05,No hotel found
219,The Valley,AI,77.09,clear sky,18.217,-63.0578,CeBlue
223,Popondetta,PG,86.61,moderate rain,-8.7537,148.2534,No hotel found
224,Kavaratti,IN,82.4,clear sky,10.5669,72.642,No hotel found
227,Vao,NC,77.13,scattered clouds,-22.6667,167.4833,Nataiwatch
243,Labuan,MY,80.96,scattered clouds,5.2767,115.2417,Labuan Avenue Hotel
254,Te Anau,NZ,80.74,clear sky,-45.4167,167.7167,Lakeside Motels & Apartments
261,Katobu,ID,86.52,light rain,-4.9408,122.5276,No hotel found
264,Anton Lizardo,MX,75.42,light rain,19.05,-95.9833,Hotel CocoAventura
267,Bonfim,BR,76.77,scattered clouds,3.0833,-59.95,No hotel found
269,Meulaboh,ID,82.89,overcast clouds,4.1363,96.1285,Hotel Meuligou
279,Panacan,PH,81.66,overcast clouds,9.2463,118.4082,Gorayan Lodge
285,Saint-Philippe,RE,83.79,scattered clouds,-21.3585,55.7679,Le Baril
286,Cap Malheureux,MU,83.46,clear sky,-19.9842,57.6142,Cape Garden
289,Poya,NC,79.27,broken clouds,-21.35,165.15,No hotel found
296,Rawson,AR,80.49,broken clouds,-43.3002,-65.1023,Hotel Deportivo
298,Waingapu,ID,86.92,broken clouds,-9.6567,120.2641,HOTEL SANDLEWOOD
306,Namatanai,PG,83.68,overcast clouds,-3.6667,152.4333,Namatanai Hotel
308,Port-Gentil,GA,77.92,overcast clouds,-0.7193,8.7815,Tara-Mé
325,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
332,Touros,BR,77.11,broken clouds,-5.1989,-35.4608,Pousada Atlântico
334,Toucheng,TW,77.11,overcast clouds,24.8592,121.8233,藍灣渡假村
345,Boa Vista,BR,76.98,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
346,Marawi,PH,77.36,overcast clouds,7.9986,124.2928,Marawi Resort Hotel
347,Noumea,NC,82.38,broken clouds,-22.2763,166.4572,Hotel Gondwana
350,Bambous Virieux,MU,83.21,scattered clouds,-20.3428,57.7575,No hotel found
353,Srandakan,ID,83.44,broken clouds,-7.9386,110.2506,No hotel found
354,Linguere,SN,75.99,overcast clouds,15.3953,-15.1193,Thiossane Plaza
360,Amahai,ID,77.7,light rain,-3.3333,128.9167,No hotel found
361,Lumatil,PH,84.67,overcast clouds,5.8747,124.8883,No hotel found
370,Moron,AR,77.97,clear sky,-34.6534,-58.6198,La Esquina
372,Kirakira,SB,84.25,overcast clouds,-10.4544,161.9205,No hotel found
381,Moroni,KM,80.6,few clouds,-11.7022,43.2551,Ville de Moroni
385,Khao Yoi,TH,86.97,overcast clouds,13.2403,99.8243,No hotel found
387,Manggar,ID,78.17,light rain,-2.8833,108.2667,No hotel found
392,Honiara,SB,82.98,overcast clouds,-9.4333,159.95,King Solomon Hotel
394,Yulara,AU,85.62,scattered clouds,-25.2406,130.9889,Outback Pioneer Hotel & Lodge
398,Quatre Cocos,MU,83.08,few clouds,-20.2078,57.7625,Horisun
410,Champasak,LA,79.68,scattered clouds,14.75,106.0,Kiat Ngong Wetland
413,Merauke,ID,83.01,broken clouds,-8.4667,140.3333,No hotel found
414,Kupang,ID,88.38,scattered clouds,-10.1667,123.5833,BIB & LANG GUEST HOUSE
