City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
29,Thompson,CA,2023-01-06 04:04:04,55.7435,-97.8558,-11.22,100,12,2.51
30,Ankang,CN,2023-01-06 04:04:05,32.68,109.0172,53.73,49,0,4.5
31,Sitka,US,2023-01-06 04:04:05,57.0531,-135.33,40.89,75,100,0.0
32,Wete,TZ,2023-01-06 04:04:06,-5.0559,39.7294,79.81,78,47,10.56
33,Pombas,CV,2023-01-06 04:04:07,17.1503,-25.0201,69.58,69,92,11.27
34,Mana,GF,2023-01-06 04:04:07,5.6592,-53.7767,75.61,90,100,6.64
35,Mankono,CI,2023-01-06 04:04:08,8.0586,-6.1897,70.54,28,79,1.28
36,Isangel,VU,2023-01-06 04:04:08,-19.55,169.2667,79.59,92,100,19.73
37,Rikitea,PF,2023-01-06 04:04:09,-23.1203,-134.9692,78.55,77,7,15.86
38,Meulaboh,ID,2023-01-06 04:04:09,4.1363,96.1285,80.78,78,74,2.62
39,Port Elizabeth,ZA,2023-01-06 04:04:09,-33.918,25.5701,61.11,95,72,8.03
40,Petropavlovsk-Kamchatskiy,RU,2023-01-06 04:04:10,53.0452,158.6483,10.99,62,75,0.0
41,Juba,SS,2023-01-06 04:04:10,4.8517,31.5825,72.3,42,51,2.66
42,Bluff,NZ,2023-01-06 04:04:11,-46.6,168.3333,56.03,93,100,19.62
43,Tucuma,BR,2023-01-06 03:59:13,-0.1833,-50.05,75.56,90,100,5.48
44,Provideniya,RU,2023-01-06 04:04:12,64.3833,-173.3,8.04,93,100,6.58
45,Kinston,US,2023-01-06 04:03:20,35.2627,-77.5816,54.25,71,0,6.91
46,Talnakh,RU,2023-01-06 04:04:13,69.4865,88.3972,-45.8,96,40,2.06
47,Hovd,MN,2023-01-06 04:05:13,48.0056,91.6419,14.52,76,100,0.29
48,Makakilo City,US,2023-01-06 04:05:14,21.3469,-158.0858,77.32,79,0,6.91
49,Souillac,MU,2023-01-06 04:05:14,-20.5167,57.5167,79.21,74,87,16.35
50,Kapaa,US,2023-01-06 04:05:15,22.0752,-159.319,76.98,83,40,8.05
51,Albany,US,2023-01-06 04:02:53,42.6001,-73.9662,43.65,90,96,1.19
52,Hithadhoo,MV,2023-01-06 04:05:15,-0.6,73.0833,80.28,68,0,9.8
53,Lebu,CL,2023-01-06 04:05:16,-37.6167,-73.65,56.77,94,11,4.68
54,Castro,BR,2023-01-06 04:01:48,-24.7911,-50.0119,51.51,99,7,5.21
55,Port Hardy,CA,2023-01-06 04:05:17,50.6996,-127.4199,43.7,95,100,21.25
56,Lorengau,PG,2023-01-06 04:05:17,-2.0226,147.2712,82.24,82,100,11.07
57,Vaini,TO,2023-01-06 04:05:18,-21.2,-175.2,84.36,84,75,5.75
58,Arraial Do Cabo,BR,2023-01-06 04:05:18,-22.9661,-42.0278,72.23,96,100,9.26
59,Steenwijk,NL,2023-01-06 04:05:19,52.7875,6.1208,51.91,57,100,8.99
